df1_index,df2_index,Song Name (df1),Artist (df1),Song Name (df2),Artist (df2)
1010,2337,I Gotta Feeling,The Black Eyed Peas,All About Us,He Is We
1011,2337,Break Your Heart,Taio Cruz Featuring Ludacris,All About Us,He Is We
1012,2337,Cooler Than Me,Mike Posner,All About Us,He Is We
1013,2337,TiK ToK,Ke$ha,All About Us,He Is We
1014,1133,Your Love Is My Drug,Ke$ha,Love It If We Made It,The 1975
1015,1007,Nothin' On You,B.o.B Featuring Bruno Mars,Nothin' to Compare,Who
1016,2337,Ridin' Solo,Jason Derulo,All About Us,He Is We
1017,1890,Dynamite,Taio Cruz,Dynamite,Taio Cruz
1018,1944,Animal,Neon Trees,Animal,Neon Trees
1019,2065,Bad Romance,Lady Gaga,Bad Romance,Lady Gaga
1020,2337,Bulletproof,La Roux,All About Us,He Is We
1021,2337,Billionaire,Travie McCoy Featuring Bruno Mars,All About Us,He Is We
1022,2229,California Gurls,Katy Perry Featuring Snoop Dogg,California Gurls,Katy Perry
1023,2337,Imma Be,The Black Eyed Peas,All About Us,He Is We
1024,2337,There Goes My Baby,Usher,All About Us,He Is We
1025,2337,Not Afraid,Eminem,All About Us,He Is We
1026,2337,Secrets,OneRepublic,All About Us,He Is We
1027,1133,Love The Way You Lie,Eminem Featuring Rihanna,Love It If We Made It,The 1975
1028,2337,Say Aah,Trey Songz Featuring Fabolous,All About Us,He Is We
1029,2337,Carry Out,Timbaland Featuring Justin Timberlake,All About Us,He Is We
1030,2337,All The Right Moves,OneRepublic,All About Us,He Is We
1031,2337,All I Do Is Win,"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",All About Us,He Is We
1032,2337,Club Can't Handle Me,Flo Rida Featuring David Guetta,All About Us,He Is We
1033,2337,Deuces,Chris Brown Featuring Tyga & Kevin McCall,All About Us,He Is We
1034,2133,Alejandro,Lady Gaga,Alejandro,Lady Gaga
1035,2337,If I Die Young,The Band Perry,All About Us,He Is We
1036,2337,BedRock,Young Money Featuring Lloyd,All About Us,He Is We
1037,2337,Live Like We're Dying,Kris Allen,All About Us,He Is We
1038,2337,Rude Boy,Rihanna,All About Us,He Is We
1039,2337,King Of Anything,Sara Bareilles,All About Us,He Is We
1040,1133,DJ Got Us Fallin' In Love,Usher Featuring Pitbull,Love It If We Made It,The 1975
1041,2337,Sexy Chick,David Guetta Featuring Akon,All About Us,He Is We
1042,2337,Hey Daddy (Daddy's Home),Usher Featuring Plies,All About Us,He Is We
1043,2063,Naturally,Selena Gomez & The Scene,Naturally,Selena Gomez & The Scene
1044,1133,Find Your Love,Drake,Love It If We Made It,The 1975
1045,2337,Farmer's Daughter,Rodney Atkins,All About Us,He Is We
1046,2319,Teenage Dream,Katy Perry,Part Of Me,Katy Perry
1047,1762,Just The Way You Are,Bruno Mars,Just The Way You Are,Bruno Mars
1048,2337,How Low,Ludacris,All About Us,He Is We
1049,2337,Steady Mobbin',Young Money Featuring Gucci Mane,All About Us,He Is We
1050,2337,Hillbilly Bone,Blake Shelton Featuring Trace Adkins,All About Us,He Is We
1051,2337,American Honey,Lady Antebellum,All About Us,He Is We
1052,2337,Drop The World,Lil Wayne Featuring Eminem,All About Us,He Is We
1053,2337,Blah Blah Blah,Ke$ha Featuring 3OH!3,All About Us,He Is We
1054,386,Take It Off,Ke$ha,Now & Forever (feat. SONPUB & 向井太一),香取慎吾
1055,2337,Say Something,Timbaland Featuring Drake,All About Us,He Is We
1056,2337,A Little More Country Than That,Easton Corbin,All About Us,He Is We
1057,2337,Highway 20 Ride,Zac Brown Band,All About Us,He Is We
1058,1816,Baby,Justin Bieber Featuring Ludacris,Baby,Justin Bieber
1059,1133,Our Kind Of Love,Lady Antebellum,Love It If We Made It,The 1975
1060,2337,I Made It (Cash Money Heroes),"Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne",All About Us,He Is We
1061,2337,Young Forever,Jay-Z + Mr. Hudson,All About Us,He Is We
1062,2337,My Chick Bad,Ludacris Featuring Nicki Minaj,All About Us,He Is We
1063,2337,Neighbors Know My Name,Trey Songz,All About Us,He Is We
1064,2337,Gimmie That Girl,Joe Nichols,All About Us,He Is We
1065,2337,The Man I Want To Be,Chris Young,All About Us,He Is We
1066,386,Over,Drake,Now & Forever (feat. SONPUB & 向井太一),香取慎吾
1067,2337,Pray For You,Jaron And The Long Road To Love,All About Us,He Is We
1068,2337,Rain Is A Good Thing,Luke Bryan,All About Us,He Is We
1069,2337,The House That Built Me,Miranda Lambert,All About Us,He Is We
1070,2337,I Never Told You,Colbie Caillat,All About Us,He Is We
1071,2337,Hello Good Morning,Diddy - Dirty Money Featuring T.I.,All About Us,He Is We
1072,2337,This Afternoon,Nickelback,All About Us,He Is We
1073,2337,Un-Thinkable (I'm Ready),Alicia Keys,All About Us,He Is We
1074,2337,Impossible,Shontelle,All About Us,He Is We
1075,2337,Ride,Ciara Featuring Ludacris,All About Us,He Is We
1076,2337,Magic,B.o.B Featuring Rivers Cuomo,All About Us,He Is We
1077,2337,"Lover, Lover",Jerrod Niemann,All About Us,He Is We
1078,2337,Gettin' Over You,David Guetta & Chris Willis Featuring Fergie & LMFAO,All About Us,He Is We
1079,1133,Love Like Crazy,Lee Brice,Love It If We Made It,The 1975
1080,2337,The Only Exception,Paramore,All About Us,He Is We
1081,2337,Teach Me How To Dougie,Cali Swag District,All About Us,He Is We
1082,2337,Miss Me,Drake Featuring Lil Wayne,All About Us,He Is We
1083,2337,Got Your Back,T.I. Featuring Keri Hilson,All About Us,He Is We
1084,1133,Your Love,Nicki Minaj,Love It If We Made It,The 1975
1085,2337,Pretty Good At Drinkin' Beer,Billy Currington,All About Us,He Is We
1086,2337,Little White Church,Little Big Town,All About Us,He Is We
1087,1133,If It's Love,Train,Love It If We Made It,The 1975
1088,2337,Fancy,Drake Featuring T.I. & Swizz Beatz,All About Us,He Is We
1089,2337,Misery,Maroon 5,All About Us,He Is We
1090,386,If I Had You,Adam Lambert,Now & Forever (feat. SONPUB & 向井太一),香取慎吾
1091,2337,Come Back Song,Darius Rucker,All About Us,He Is We
1092,2337,Stuck Like Glue,Sugarland,All About Us,He Is We
1093,2337,According To You,Orianthi,All About Us,He Is We
1094,386,I Am,Mary J. Blige,Now & Forever (feat. SONPUB & 向井太一),香取慎吾
1095,2337,Sex Therapy,Robin Thicke,All About Us,He Is We
1096,2337,Heartbreak Warfare,John Mayer,All About Us,He Is We
1097,2337,Halfway Gone,Lifehouse,All About Us,He Is We
1098,2337,Temporary Home,Carrie Underwood,All About Us,He Is We
1099,2337,Water,Brad Paisley,All About Us,He Is We
1100,2337,Rolling In The Deep,Adele,All About Us,He Is We
1101,1923,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,Party Rock Anthem,LMFAO
1102,148,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",Let Me Love You (Until You Learn To Love Yourself),Ne-Yo
1103,2337,Crazy Girl,Eli Young Band,All About Us,He Is We
1104,2337,Good Life,OneRepublic,All About Us,He Is We
1105,1226,Pumped Up Kicks,Foster The People,Pumped Up Kicks,Foster The People
1106,2337,Super Bass,Nicki Minaj,All About Us,He Is We
1107,2337,Just A Kiss,Lady Antebellum,All About Us,He Is We
1108,2337,F**k You! (Forget You),CeeLo Green,All About Us,He Is We
1109,160,Firework,Katy Perry,Firework,Katy Perry
1110,2337,The Show Goes On,Lupe Fiasco,All About Us,He Is We
1111,2123,Just Can't Get Enough,The Black Eyed Peas,Just Can’t Get Enough,The Black Eyed Peas
1112,2337,If I Die Young,The Band Perry,All About Us,He Is We
1113,1269,F**kin' Perfect,P!nk,So What,P!nk
1114,1423,Tonight Tonight,Hot Chelle Rae,Tonight Tonight,Hot Chelle Rae
1115,2337,For The First Time,The Script,All About Us,He Is We
1116,2319,E.T.,Katy Perry Featuring Kanye West,Part Of Me,Katy Perry
1117,1599,On The Floor,Jennifer Lopez Featuring Pitbull,Give Me Everything,Pitbull
1118,386,Down On Me,Jeremih Featuring 50 Cent,Now & Forever (feat. SONPUB & 向井太一),香取慎吾
1119,1762,Just The Way You Are,Bruno Mars,Just The Way You Are,Bruno Mars
1120,2337,Look At Me Now,Chris Brown Featuring Lil Wayne & Busta Rhymes,All About Us,He Is We
1121,2337,Dirt Road Anthem,Jason Aldean,All About Us,He Is We
