Year,Song Name,Artist,Number of Weeks On Top,Spotify ID
2002,Just A Friend 2002,Mario,21,2cxbxpHrND6i4uvUGVvC9J
2002,The Impossible,Joe Nichols,21,5vyVckEUyIogu3Fq7J3lBR
2002,Gotta Get Thru This,Daniel Bedingfield,21,023lag1AgeOf7YChojecRu
2002,Don't Mess With My Man,Nivea Featuring Brian & Brandon Casey,21,39YovPslPCXbFYhlYjsZ2Y
2002,Always On Time,Ja Rule Featuring Ashanti,20,2hNf1rawV2XAZ6Jld2Fxwf
2002,Hero,Enrique Iglesias,20,1PAgmT6YqGhd6zT9kN9gIo
2002,Nothing In This World,KeKe Wyatt Featuring Avant,20,54Ev13Dca9qrYZDNLFUYpb
2002,Chop Suey,System Of A Down,20,2DlHlPMa4M17kufBvI2lEN
2002,The Cowboy In Me,Tim McGraw,20,1e7cEhr2dprxwtlRcSBfED
2002,Blessed,Martina McBride,20,0nGzwlShUTBEQePuzMoUjN
2002,Can't Get You Out Of My Head,Kylie Minogue,20,3E7ZwUMJFqpsDOJzEkBrQ7
2002,Hands Clean,Alanis Morissette,20,2LVxvGhl2U5p2ql2ujc6vZ
2002,Oops (Oh My),Tweet,20,5Y0E3dOeynKuLDAXu0t0Bg
2002,Girlfriend,'N Sync Featuring Nelly,20,3QFSKGYKzyYeBuI1rwoOhX
2002,Young,Kenny Chesney,20,3tHPjLBakLS48aumhFpJMt
2002,"I Breathe In, I Breathe Out",Chris Cagle,20,1Jsy4H3jKEwriFniuoC2gj
2002,My List,Toby Keith,20,5WFDseVq6n2LnKQMByCYnj
2002,Saturday (Oooh! Ooooh!),Ludacris Featuring Sleepy Brown,20,4QKdiLnJ2fnvfLPUldoryF
2002,Escape,Enrique Iglesias,20,4anDsZBavxjw3Ktw6ICGYd
2002,Anything,Jaheim Featuring Next,20,38084tN66v4KHqiLpl9cN8
2002,What If She's An Angel,Tommy Shane Steiner,20,4avs56frsTcnjwy2KlCQ5D
2002,That's When I Love You,Phil Vassar,20,1lhPhB8fdto7hvqCWljRm1
2002,A New Day Has Come,Celine Dion,20,5fkDD7aQLUmMy1EwzNm0ZB
2002,For You,Staind,20,3gAZuCwnlRkAjcnP1Q4yzu
2002,Pass The Courvoisier Part II,Busta Rhymes Featuring P. Diddy & Pharrell,20,4SnTf4ixVZCfQtxHNhky0T
2002,Awnaw,Nappy Roots,20,37RC87Ce8jeeKmnpYNExhP
2002,Underneath Your Clothes,Shakira,20,15f8Cv8RXUlOOCIf2oaceN
2002,Drive (For Daddy Gene),Alan Jackson,20,1FV374EPG5CrjdIbIMLkcv
2002,Too Bad,Nickelback,20,2cCWbBmadLbKvr9xddC79R
2002,I Should Be Sleeping,Emerson Drive,20,4gvF2sPAApf8K2da890sjr
2002,Here Is Gone,Goo Goo Dolls,20,4KqTGPPmXowMPEoShSVOta
2002,Makin' Good Love,Avant,20,6Q13UWFUuqXLXT7IUVkqM1
