Year,Number of Weeks On Top,Spotify ID,track_name,track_artist,track_popularity,genre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,duration_ms
2003,20,40u9RFyKQfXwpPjFzK1bGO,Stupid Girl,Cold,49.0,industrial,0.431,0.854,-4.438,0.0627,0.000117,0.0001,0.179,138.731,189866.0
2003,20,0spLdf4QyLsUWalfu8RO16,Miss Independent,Kelly Clarkson,47.0,"pop, R&B",0.656,0.615,-6.359,0.137,0.0769,0.000415,0.592,175.943,214773.0
2003,20,3dPQuX8Gs42Y7b454ybpMR,Seven Nation Army,The White Stripes,15.0,pop,0.75,0.462,-7.664,0.0779,0.00576,0.545,0.309,123.865,231800.0
2003,20,,"Never Leave You (Uh Oooh, Uh Oooh)",Lumidee,61.0,"pop, R&B",0.811,0.657,-6.197,0.362,0.0391,0.712,0.777,199.958,184906.0
2004,43,6ECp64rv50XVz93WvxXMGF,This Love,Maroon 5,76.0,pop,0.712,0.862,-4.612,0.0378,0.0525,0.0,0.809,95.051,206200.0
2004,40,3XVBdLihbNbxUwZosxcGuJ,If I Ain't Got You,Alicia Keys,78.0,r&b,0.609,0.445,-9.129,0.106,0.603,6.77e-06,0.166,118.393,228707.0
2004,39,4UNhyW0R7qylxrF6Z0q2Tb,Freek-A-Leek,Petey Pablo,53.0,rap,0.737,0.697,-3.716,0.254,0.0756,0.0,0.662,104.917,235187.0
2004,38,5B5eTk7DF8KVp1zpQoY1XY,The Reason,Hoobastank,12.0,rock,0.472,0.671,-4.649,0.029,0.0129,0.0,0.0681,82.952,232800.0
2004,33,3NLrRZoMF0Lx6zTlYqeIo4,Here Without You,3 Doors Down,75.0,rock,0.536,0.55,-6.733,0.0248,0.0537,0.0,0.234,144.018,238560.0
2004,32,4UzVcXufOhGUwF56HT7b8M,My Immortal - Band Version,Evanescence,57.0,r&b,0.367,0.34,-7.877,0.0306,0.755,1.56e-05,0.0704,149.788,273360.0
2004,31,4PkJ7c9y1CwpuVOiJODnCZ,Someday,Nickelback,71.0,grunge,0.455,0.858,-5.659,0.0391,0.000616,0.000247,0.597,163.118,207466.0
2004,30,0jSMveIWvnhDIvzqN74Uc7,Tipsy - Radio Mix,J-Kwon,62.0,rap,0.925,0.748,-5.572,0.278,0.0484,0.0,0.615,92.978,243027.0
2004,30,2yr2HnFYl7XvqJk4fXoQBt,I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster,Mario Winans,68.0,r&b,0.833,0.515,-5.0,0.0462,0.347,0.00156,0.4,97.035,257333.0
2004,30,73JCugW0hKqzGYGwXHVzQ4,Dip It Low,Christina Milian,45.0,"hip hop, pop, R&B",0.752,0.722,-4.207,0.104,0.0108,0.000536,0.612,169.131,197186.0
2004,29,3QigOeWryUCP56I1IlTB9x,Leave (Get Out) - Radio Edit,JoJo,49.0,"hip hop, pop, R&B",0.656,0.513,-8.691,0.253,0.156,6.45e-05,0.464,86.891,242746.0
